,Battery,Acceleration,Top Speed,Range,Efficiency,Fast Charge
Tesla Model 3 Long Range Dual Motor,76,4.4 sec,233 km/h,490 km,155 Wh/km,820
Dacia Spring Electric,26.8,15.0 sec,125 km/h,170 km,158 Wh/km,120
Kia EV6 GT,77.4,3.5 sec,260 km/h,395 km,196 Wh/km,970
Skoda Enyaq iV 80,77,8.6 sec,160 km/h,420 km,183 Wh/km,510
Tesla Model Y Long Range Dual Motor,70,5.0 sec,217 km/h,410 km,171 Wh/km,590
Nissan Leaf ,37,7.9 sec,144 km/h,225 km,164 Wh/km,230
Tesla Model 3 Standard Range Plus LFP,52.5,5.6 sec,225 km/h,350 km,150 Wh/km,630
Tesla Model 3 Standard Range Plus,51,5.6 sec,225 km/h,350 km,146 Wh/km,700
Hyundai Kona Electric 64 kWh,64,7.9 sec,167 km/h,395 km,162 Wh/km,370
BMW i4 eDrive40,80.7,5.7 sec,190 km/h,475 km,170 Wh/km,660
Mercedes EQS 580 4MATIC,107.8,4.3 sec,210 km/h,610 km,177 Wh/km,800
Hyundai IONIQ 5 Long Range AWD,72.6,5.2 sec,185 km/h,375 km,194 Wh/km,920
MG ZS EV,42.5,8.2 sec,140 km/h,220 km,193 Wh/km,260
Mercedes EQA 250,66.5,8.9 sec,160 km/h,355 km,187 Wh/km,420
Mercedes EQE 350,90,6.0 sec,160 km/h,535 km,168 Wh/km,680
Hyundai IONIQ Electric,38.3,9.7 sec,165 km/h,250 km,153 Wh/km,220
Peugeot e-208 ,45,8.1 sec,150 km/h,275 km,164 Wh/km,370
MG Marvel R Performance,65,4.9 sec,200 km/h,330 km,197 Wh/km,360
BMW i4 M50,80.7,3.9 sec,225 km/h,450 km,179 Wh/km,630
BMW iX xDrive50,105.2,4.6 sec,200 km/h,505 km,208 Wh/km,620
Volkswagen ID.4 1st,77,8.5 sec,160 km/h,410 km,188 Wh/km,500
Mercedes EQS 450+,107.8,6.2 sec,210 km/h,640 km,168 Wh/km,840
Kia EV6 Long Range 2WD,77.4,7.5 sec,185 km/h,420 km,184 Wh/km,1030
Honda e ,28.5,9.0 sec,145 km/h,170 km,168 Wh/km,190
Volkswagen e-Up! ,32.3,11.9 sec,130 km/h,205 km,158 Wh/km,170
Renault Zoe ZE50 R110,52,11.4 sec,135 km/h,315 km,165 Wh/km,230
BMW i3 120 Ah,37.9,7.3 sec,150 km/h,235 km,161 Wh/km,270
Renault Megane E-Tech EV60 220hp,60,7.4 sec,160 km/h,360 km,167 Wh/km,520
Audi e-tron GT RS,85,3.3 sec,250 km/h,405 km,210 Wh/km,810
Audi Q4 e-tron 40,76.6,8.5 sec,160 km/h,405 km,189 Wh/km,500
Opel Corsa-e ,45,8.1 sec,150 km/h,275 km,164 Wh/km,370
Aiways U5 ,63,7.5 sec,150 km/h,335 km,188 Wh/km,350
Skoda Enyaq iV 60,58,8.7 sec,160 km/h,330 km,176 Wh/km,420
Tesla Model 3 Performance,76,3.3 sec,261 km/h,470 km,162 Wh/km,790
Citroen e-C4 ,45,9.7 sec,150 km/h,250 km,180 Wh/km,330
Mazda MX-30 ,30,9.7 sec,140 km/h,170 km,176 Wh/km,180
Tesla Model S Plaid,90,2.1 sec,322 km/h,535 km,168 Wh/km,800
Seres 3 ,52,8.9 sec,155 km/h,270 km,193 Wh/km,390
